Variable accession,Variable name,Variable description,Type,Dataset accession,Dataset name,Study,Database
phv00151241,LUC_c_v_sd,LEFT LUNG UPPER CORE: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151242,LUC_c_v_x_m,LEFT LUNG UPPER CORE: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151243,LUC_c_v_x_sd,LEFT LUNG UPPER CORE: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151244,LUC_c_v_y_m,LEFT LUNG UPPER CORE: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151245,LUC_c_v_y_sd,LEFT LUNG UPPER CORE: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151246,LUC_c_v_z_m,LEFT LUNG UPPER CORE: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151247,LUC_c_v_z_sd,LEFT LUNG UPPER CORE: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151290,LUP_c_v_m,LEFT LUNG UPPER PEEL: MEAN LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151291,LUP_c_v_sd,LEFT LUNG UPPER PEEL: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151292,LUP_c_v_x_m,LEFT LUNG UPPER PEEL: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151293,LUP_c_v_x_sd,LEFT LUNG UPPER PEEL: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151294,LUP_c_v_y_m,LEFT LUNG UPPER PEEL: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151295,LUP_c_v_y_sd,LEFT LUNG UPPER PEEL: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151296,LUP_c_v_z_m,LEFT LUNG UPPER PEEL: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151297,LUP_c_v_z_sd,LEFT LUNG UPPER PEEL: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151339,R_c_cutoff_hu,RIGHT LUNG: DEFINITION OF EMPHYSEMA CUTOFF VALUE (HU) VALUES LESS THAN THIS ARE CONSIDERED EMPHYSEMA,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151390,RC_c_v_m,"RIGHT LUNG, CORE: MEAN LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151391,RC_c_v_sd,"RIGHT LUNG, CORE: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151392,RC_c_v_x_m,"RIGHT LUNG, CORE: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151393,RC_c_v_x_sd,"RIGHT LUNG, CORE: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151394,RC_c_v_y_m,"RIGHT LUNG, CORE: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151395,RC_c_v_y_sd,"RIGHT LUNG, CORE: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151396,RC_c_v_z_m,"RIGHT LUNG, CORE: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151397,RC_c_v_z_sd,"RIGHT LUNG, CORE: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151439,RL_c_cutoff_hu,"RIGHT LUNG, LOWER: DEFINITION OF EMPHYSEMA CUTOFF VALUE (HU) VALUES LESS THAN THIS ARE CONSIDERED EMPHYSEMA",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151490,RLC_c_v_m,"RIGHT LUNG, LOWER CORE: MEAN LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151491,RLC_c_v_sd,"RIGHT LUNG, LOWER CORE: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151492,RLC_c_v_x_m,"RIGHT LUNG, LOWER CORE: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151493,RLC_c_v_x_sd,"RIGHT LUNG, LOWER CORE: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151494,RLC_c_v_y_m,"RIGHT LUNG, LOWER CORE: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151495,RLC_c_v_y_sd,"RIGHT LUNG, LOWER CORE: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151496,RLC_c_v_z_m,"RIGHT LUNG, LOWER CORE: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151497,RLC_c_v_z_sd,"RIGHT LUNG, LOWER CORE: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151540,RLP_c_v_m,"RIGHT LUNG, LOWER PEEL: MEAN LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151541,RLP_c_v_sd,"RIGHT LUNG, LOWER PEEL: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151542,RLP_c_v_x_m,"RIGHT LUNG, LOWER PEEL: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151543,RLP_c_v_x_sd,"RIGHT LUNG, LOWER PEEL: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151544,RLP_c_v_y_m,"RIGHT LUNG, LOWER PEEL: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151545,RLP_c_v_y_sd,"RIGHT LUNG, LOWER PEEL: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151546,RLP_c_v_z_m,"RIGHT LUNG, LOWER PEEL: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151547,RLP_c_v_z_sd,"RIGHT LUNG, LOWER PEEL: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151589,RM_c_cutoff_hu,"RIGHT LUNG, MIDDLE: DEFINITION OF EMPHYSEMA CUTOFF VALUE (HU) VALUES LESS THAN THIS ARE CONSIDERED EMPHYSEMA",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151640,RMC_c_v_m,"RIGHT LUNG, MIDDLE CORE: MEAN LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151641,RMC_c_v_sd,"RIGHT LUNG, MIDDLE CORE: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151642,RMC_c_v_x_m,"RIGHT LUNG, MIDDLE CORE: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151643,RMC_c_v_x_sd,"RIGHT LUNG, MIDDLE CORE: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151644,RMC_c_v_y_m,"RIGHT LUNG, MIDDLE CORE: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151645,RMC_c_v_y_sd,"RIGHT LUNG, MIDDLE CORE: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151646,RMC_c_v_z_m,"RIGHT LUNG, MIDDLE CORE: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151647,RMC_c_v_z_sd,"RIGHT LUNG, MIDDLE CORE: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151690,RMP_c_v_m,"RIGHT LUNG, MIDDLE PEEL: MEAN LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151691,RMP_c_v_sd,"RIGHT LUNG, MIDDLE PEEL: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151692,RMP_c_v_x_m,"RIGHT LUNG, MIDDLE PEEL: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151693,RMP_c_v_x_sd,"RIGHT LUNG, MIDDLE PEEL: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151694,RMP_c_v_y_m,"RIGHT LUNG, MIDDLE PEEL: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151695,RMP_c_v_y_sd,"RIGHT LUNG, MIDDLE PEEL: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151696,RMP_c_v_z_m,"RIGHT LUNG, MIDDLE PEEL: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151697,RMP_c_v_z_sd,"RIGHT LUNG, MIDDLE PEEL: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151740,RP_c_v_m,"RIGHT LUNG, PEEL: MEAN LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151741,RP_c_v_sd,"RIGHT LUNG, PEEL: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151742,RP_c_v_x_m,"RIGHT LUNG, PEEL: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151743,RP_c_v_x_sd,"RIGHT LUNG, PEEL: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151744,RP_c_v_y_m,"RIGHT LUNG, PEEL: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151745,RP_c_v_y_sd,"RIGHT LUNG, PEEL: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151746,RP_c_v_z_m,"RIGHT LUNG, PEEL: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151747,RP_c_v_z_sd,"RIGHT LUNG, PEEL: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151789,RU_c_cutoff_hu,"RIGHT LUNG, UPPER: DEFINITION OF EMPHYSEMA CUTOFF VALUE (HU) VALUES LESS THAN THIS ARE CONSIDERED EMPHYSEMA",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151840,RUC_c_v_m,"RIGHT LUNG, UPPER CORE: MEAN LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151841,RUC_c_v_sd,"RIGHT LUNG, UPPER CORE: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151842,RUC_c_v_x_m,"RIGHT LUNG, UPPER CORE: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151843,RUC_c_v_x_sd,"RIGHT LUNG, UPPER CORE: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151844,RUC_c_v_y_m,"RIGHT LUNG, UPPER CORE: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151845,RUC_c_v_y_sd,"RIGHT LUNG, UPPER CORE: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151846,RUC_c_v_z_m,"RIGHT LUNG, UPPER CORE: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151847,RUC_c_v_z_sd,"RIGHT LUNG, UPPER CORE: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151890,RUP_c_v_m,"RIGHT LUNG, UPPER PEEL: MEAN LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151891,RUP_c_v_sd,"RIGHT LUNG, UPPER PEEL: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151892,RUP_c_v_x_m,"RIGHT LUNG, UPPER PEEL: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151893,RUP_c_v_x_sd,"RIGHT LUNG, UPPER PEEL: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151894,RUP_c_v_y_m,"RIGHT LUNG, UPPER PEEL: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151895,RUP_c_v_y_sd,"RIGHT LUNG, UPPER PEEL: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151896,RUP_c_v_z_m,"RIGHT LUNG, UPPER PEEL: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151897,RUP_c_v_z_sd,"RIGHT LUNG, UPPER PEEL: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151901,areapx,AREAPX,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151902,other_ids2,OTHER IDS,String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151903,B_950_cutoff_hu,BOTH LUNGS 950: DEFINITION OF HIGHEST NON-HOLE HOUNSFIELD UNIT VALUE,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151908,B_950_holes,BOTH LUNGS 950: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE,String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151909,B_910_cutoff_hu,BOTH LUNGS 910: DEFINITION OF HIGHEST NON-HOLE HOUNSFIELD UNIT VALUE,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151914,B_910_holes,BOTH LUNGS 910: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE,String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151915,B_850_cutoff_hu,BOTH LUNGS 850: DEFINITION OF HIGHEST NON-HOLE HOUNSFIELD UNIT VALUE,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151920,B_850_holes,BOTH LUNGS 850: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE,String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151926,BC_950_holes,"BOTH LUNGS, CORE 950: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151932,BC_910_holes,"BOTH LUNGS, CORE 910: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151938,BC_850_holes,"BOTH LUNGS, CORE 850: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151944,BP_950_holes,"BOTH LUNGS, PEEL 950: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151950,BP_910_holes,"BOTH LUNGS, PEEL 910: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151956,BP_850_holes,"BOTH LUNGS, PEEL 850: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151957,L_950_cutoff_hu,LEFT LUNG 950: DEFINITION OF HIGHEST NON-HOLE HOUNSFIELD UNIT VALUE,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151962,L_950_holes,LEFT LUNG 950: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE,String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151963,L_910_cutoff_hu,LEFT LUNG 910: DEFINITION OF HIGHEST NON-HOLE HOUNSFIELD UNIT VALUE,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151968,L_910_holes,LEFT LUNG 910: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE,String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151969,L_850_cutoff_hu,LEFT LUNG 850: DEFINITION OF HIGHEST NON-HOLE HOUNSFIELD UNIT VALUE,Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151974,L_850_holes,LEFT LUNG 850: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE,String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151980,LC_950_holes,"LEFT LUNG, CORE 950: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151986,LC_910_holes,"LEFT LUNG, CORE 910: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151992,LC_850_holes,"LEFT LUNG, CORE 850: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00151998,LL_950_holes,"LEFT LUNG, LOWER 950: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00152004,LL_910_holes,"LEFT LUNG, LOWER 910: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00152005,LL_850_cutoff_hu,"LEFT LUNG, LOWER 850: DEFINITION OF HIGHEST NON-HOLE HOUNSFIELD UNIT VALUE",Numeric,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00152010,LL_850_holes,"LEFT LUNG, LOWER 850: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00152016,LLC_950_holes,"LEFT LUNG, LOWER CORE 950: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
phv00152022,LLC_910_holes,"LEFT LUNG, LOWER CORE 910: 1-D ARRAY OF HOLE AREAS SORTED BY INCREASING SIZE",String,pht002108,MESA_MesaAirNR_LungCT,phs000209,mesa
